age,balance,job,default,loan,housing,marital_divorced,marital_married,marital_single,education_primary,education_secondary,education_tertiary,education_unknown
-1.412640585478176,-0.5263370651337015,0.0014085601820048622,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.8550778955633703,-0.5683461933272712,-0.279402159924866,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.4220075158237568,-0.3292516871191879,-0.33708592181997576,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1.6109840559105524,2.8075788532070494,-0.0874329998498549,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.9401992352611872,-0.5580673640884191,-0.4944061764085131,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
-0.1842930749140051,-0.6586211283815382,-0.4944061764085131,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.37326961500080064,-0.4271240176978239,-0.4944061764085131,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.5622461550875961,-0.7913520972484555,-0.0874329998498549,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.37326961500080064,4.522355713619041,0.19744536683851843,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-0.27878134495740287,0.37775300226621,0.19744536683851843,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
-0.8457109652177894,-0.6438732429518808,0.0014085601820048622,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.7512226951743917,0.363452022455633,-0.0874329998498549,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.9495661656067681,2.126494689728322,0.19744536683851843,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0.19366000525958596,-0.4566197885571388,-0.4944061764085131,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
-1.5071288555215738,-0.3296985927382684,-0.0874329998498549,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
-1.7905936656517671,-0.5620895146601438,-0.279402159924866,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.27878134495740287,-0.5683461933272712,0.4355051640004039,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-1.034687505304585,-0.48477484255921216,-0.0874329998498549,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
-1.1291757753479827,0.19943766025307866,0.4355051640004039,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.327519245780359,0.39965137760115593,-0.279402159924866,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.27878134495740287,-0.29439304883090656,-0.0874329998498549,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.4220075158237568,0.5037803868469193,0.7569286575995045,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
-1.7905936656517671,-0.5683461933272712,-0.0874329998498549,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.799960595997348,-0.34668100626332854,0.7569286575995045,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-0.37326961500080064,-0.5683461933272712,0.0014085601820048622,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.7605896255199726,2.5072582771849334,-0.279402159924866,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.571613085433177,-0.5089077459895608,-0.4944061764085131,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0.8550778955633703,-0.444106431222884,-0.4944061764085131,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.08980480487060732,-0.001222962714079134,-0.0874329998498549,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.9401992352611872,-0.5124829909422051,-0.0874329998498549,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
-0.08980480487060732,-0.5477885348495669,-0.4944061764085131,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
-0.1842930749140051,5.265559758149962,0.19744536683851843,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-1.2236640453913805,-0.46958005151047416,-0.279402159924866,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
-0.5622461550875961,-0.33595527140539583,0.19744536683851843,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-1.034687505304585,-0.41371684912540796,-0.279402159924866,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
-0.37326961500080064,-0.5683461933272712,-0.0874329998498549,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-1.3181523154347783,-0.5683461933272712,-0.0874329998498549,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.327519245780359,-0.7797325511523617,-0.4944061764085131,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.7512226951743917,-0.5737090607562376,0.4355051640004039,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.3826365453463815,-0.5442132898969226,0.19744536683851843,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-0.7512226951743917,0.05285261719466495,0.19744536683851843,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-0.27878134495740287,-0.36098198607390547,0.0014085601820048622,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
-0.08980480487060732,-0.10311744386443988,0.19744536683851843,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.47712481538977924,0.2928409346409094,-0.4944061764085131,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
-1.1291757753479827,-0.47673054141576265,0.19744536683851843,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0991717352161882,-0.49326604932174223,0.0014085601820048622,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
-0.6567344251309939,-0.12501581919938584,-0.0874329998498549,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1.2330309757369613,-0.5589611753265801,-0.4944061764085131,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.1842930749140051,0.3116109706422916,-0.4944061764085131,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.3826365453463815,0.3808813415997737,-0.0874329998498549,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.2881482753029837,0.24412822216113161,-0.0874329998498549,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-1.3181523154347783,0.33216862911999595,1.1496706140136677,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.004683465172790439,-0.4530445436044946,-0.0874329998498549,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
-1.034687505304585,-0.8132504725834014,0.0014085601820048622,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
-0.08980480487060732,-0.3860087007424151,0.19744536683851843,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-0.27878134495740287,-0.4530445436044946,-0.0874329998498549,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0.9495661656067681,-0.6697937688585515,0.19744536683851843,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
-1.034687505304585,4.229185627502214,0.0014085601820048622,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1.2330309757369613,0.036317109288685354,0.19744536683851843,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.8550778955633703,1.3864189845309651,0.19744536683851843,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
-1.5071288555215738,-0.5956074360911835,-0.279402159924866,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
0.0991717352161882,-0.5361689887534731,-0.16154405201139999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
-0.9401992352611872,-0.5093546516086414,-0.279402159924866,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
